# Program:featureCounts v1.5.0-p3; Command:"/grp/gf/bin/bpucker/featureCounts/subread-1.5.0-p3-Linux-x86_64/bin/featureCounts" "-t" "gene" "-g" "old_locus_tag" "-a" "/vol/cluster-data/bpucker/nadja/ATCC13032.gff" "-o" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel.count_table.txt" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam
cg0156	NC_006958.1	132969	134114	-	1146	1170
cg0158	NC_006958.1	134205	135479	-	1275	298
cg0159	NC_006958.1	135516	136034	-	519	16
cg0160	NC_006958.1	136120	136566	-	447	4
cg0161	NC_006958.1	136805	138748	+	1944	1636
cg0162	NC_006958.1	138792	140333	+	1542	1275
cg0163	NC_006958.1	140330	141793	+	1464	882
cg0165	NC_006958.1	141815	143530	+	1716	361
cg0166	NC_006958.1	143576	144643	+	1068	432
cg0167	NC_006958.1	144732	145484	+	753	197
cg0168	NC_006958.1	145516	146397	-	882	91
cg0170	NC_006958.1	146523	147242	+	720	165
cg0171	NC_006958.1	147239	147574	+	336	349
cg0172	NC_006958.1	147571	147981	-	411	483
cg0173	NC_006958.1	148123	149784	+	1662	4630
cg0174	NC_006958.1	149792	150931	-	1140	485
cg0175	NC_006958.1	150964	151455	-	492	65
cg0176	NC_006958.1	151591	152373	+	783	190
cg0177	NC_006958.1	152441	152818	+	378	1626
cg0178	NC_006958.1	153224	155614	-	2391	393
cg0180	NC_006958.1	156145	156822	-	678	218
cg0181	NC_006958.1	156849	157541	+	693	58
cg0183	NC_006958.1	158155	158835	+	681	66
cg0184	NC_006958.1	158870	159163	+	294	345
cg0185	NC_006958.1	159163	160017	+	855	1108
cg0186	NC_006958.1	160030	160374	+	345	417
cg0187	NC_006958.1	160471	161364	+	894	599
cg0188	NC_006958.1	161361	162269	-	909	1176
cg0192	NC_006958.1	162984	163607	+	624	225
cg0193	NC_006958.1	163687	165615	-	1929	2940
cg0194	NC_006958.1	165718	166461	+	744	427
cg0195	NC_006958.1	166458	167423	+	966	467
cg0196	NC_006958.1	167835	168596	-	762	124
cg0197	NC_006958.1	169039	169995	+	957	224
cg0198	NC_006958.1	169997	170920	+	924	173
cg0199	NC_006958.1	170934	172448	+	1515	372
cg0201	NC_006958.1	172469	173359	+	891	244
cg0202	NC_006958.1	173366	175279	+	1914	476
cg0203	NC_006958.1	175320	176276	+	957	278
cg0204	NC_006958.1	176309	177322	+	1014	279
cg0205	NC_006958.1	177335	178207	+	873	347
cg0206	NC_006958.1	178301	179662	+	1362	82
cg0207	NC_006958.1	179690	180715	+	1026	43
cg0208	NC_006958.1	180843	181301	+	459	297
cg0209	NC_006958.1	181304	181651	+	348	200
cg0210	NC_006958.1	181685	182680	-	996	62
cg0211	NC_006958.1	182820	184055	+	1236	204
cg0212	NC_006958.1	184078	185091	+	1014	206
cg0214	NC_006958.1	185215	185646	+	432	100
cg0215	NC_006958.1	186509	186712	+	204	5576
cg0217	NC_006958.1	187303	187611	+	309	62
cg0218	NC_006958.1	187688	188104	+	417	109
cg0220	NC_006958.1	188298	188726	-	429	62
cg0221	NC_006958.1	188745	189737	-	993	104
cg0222	NC_006958.1	189921	190325	+	405	68
cg0223	NC_006958.1	190701	192176	-	1476	320
cg0226	NC_006958.1	192858	194468	+	1611	131
cg0228	NC_006958.1	194602	195039	-	438	642
cg0229	NC_006958.1	195241	199773	+	4533	141
cg0230	NC_006958.1	199773	201293	+	1521	54
cg0233	NC_006958.1	201758	203245	-	1488	1552
cg0235	NC_006958.1	203539	206979	-	3441	3804
cg0236	NC_006958.1	207005	209038	-	2034	1407
cg0237	NC_006958.1	209208	209969	-	762	1504
cg0238	NC_006958.1	209990	211456	-	1467	3950
cg0239	NC_006958.1	211533	211760	-	228	127
cg0240	NC_006958.1	211808	212287	+	480	189
cg0241	NC_006958.1	212284	212739	+	456	119
cg0242	NC_006958.1	212765	213661	+	897	571
cg0243	NC_006958.1	213677	214111	+	435	244
cg0244	NC_006958.1	214122	214526	+	405	130
cg0245	NC_006958.1	214528	215163	+	636	147
cg0246	NC_006958.1	215160	216092	-	933	755
cg0247	NC_006958.1	216114	216713	-	600	141
cg0248	NC_006958.1	217139	217930	-	792	319
cg0249	NC_006958.1	217941	218837	-	897	546
cg0250	NC_006958.1	218950	220155	+	1206	837
cg0251	NC_006958.1	220152	221108	-	957	473
cg0252	NC_006958.1	221129	221656	-	528	54
cgtRNA_3534	NC_006958.1	221751	221838	+	88	38
cg0253	NC_006958.1	221930	222211	+	282	202
cg0254	NC_006958.1	222208	223695	-	1488	1173
cg0256	NC_006958.1	224337	225248	+	912	12
cg0257	NC_006958.1	225240	226313	-	1074	200
cg0258	NC_006958.1	226310	226768	-	459	17
cg0259	NC_006958.1	226758	227219	-	462	133
cg0260	NC_006958.1	227216	227686	-	471	356
cg0261	NC_006958.1	227701	228885	-	1185	225
cg0262	NC_006958.1	228889	229728	-	840	158
cg0263	NC_006958.1	229709	230515	-	807	470
cg0264	NC_006958.1	230675	230932	+	258	150
cg0265	NC_006958.1	230929	231843	-	915	569
cg0266	NC_006958.1	231846	232268	-	423	240
cg0267	NC_006958.1	232258	233283	-	1026	575
cgtRNA_3535	NC_006958.1	233410	233498	+	89	282
cgtRNA_3536	NC_006958.1	233528	233603	+	76	53
cg0269	NC_006958.1	233914	234822	+	909	157
cg0270	NC_006958.1	234908	235192	-	285	60
cg0272	NC_006958.1	235449	236213	-	765	63
cg0273	NC_006958.1	236327	237346	+	1020	47
cg0274	NC_006958.1	237346	238149	+	804	28
cg0275	NC_006958.1	238177	239529	+	1353	383
cg0277	NC_006958.1	239936	241519	+	1584	892
cgtRNA_3537	NC_006958.1	241638	241710	+	73	44
cg0279	NC_006958.1	241881	242903	-	1023	429
cg0280	NC_006958.1	242941	243435	+	495	331
cg0281	NC_006958.1	243435	243914	+	480	204
cg0282	NC_006958.1	244016	244219	+	204	2544
cgtRNA_3538	NC_006958.1	244295	244385	+	91	298
cg0284	NC_006958.1	244903	247308	+	2406	1857
cg0285	NC_006958.1	247320	248576	+	1257	1107
cg0286	NC_006958.1	248555	249307	-	753	898
cg0287	NC_006958.1	249429	250511	+	1083	4
cg0288	NC_006958.1	250564	251943	+	1380	32
cg0289	NC_006958.1	251953	252834	+	882	153
cg0291	NC_006958.1	252828	253820	-	993	187
cg0292	NC_006958.1	254327	255487	-	1161	10
cg0293	NC_006958.1	255490	255795	-	306	0
cgtRNA_3539	NC_006958.1	256223	256310	-	88	529
cg0294	NC_006958.1	256618	257898	+	1281	2897
cg0295	NC_006958.1	257901	258533	+	633	613
cg0296	NC_006958.1	258552	260879	+	2328	1777
cg0297	NC_006958.1	260988	261299	+	312	2680
cg0298	NC_006958.1	261403	262059	+	657	190
cg0299	NC_006958.1	262544	263296	-	753	265
cg0300	NC_006958.1	263296	264567	-	1272	433
cg0302	NC_006958.1	264597	265679	-	1083	498
cg0303	NC_006958.1	266152	268002	-	1851	3647
cg0304	NC_006958.1	268256	268948	-	693	265
cg0306	NC_006958.1	269371	270636	+	1266	5654
cg0307	NC_006958.1	270660	271694	+	1035	5736
cg0308	NC_006958.1	271761	273197	+	1437	419
cg0309	NC_006958.1	273539	274120	-	582	267
cg0310	NC_006958.1	274324	275874	+	1551	17510
cg0311	NC_006958.1	275954	276247	-	294	53
cg0313	NC_006958.1	276299	276754	-	456	57
cg0314	NC_006958.1	276829	277584	+	756	27
cg0315	NC_006958.1	277581	277907	+	327	20
cg0316	NC_006958.1	277984	278277	-	294	27
cg0317	NC_006958.1	278385	278732	-	348	35
cg0318	NC_006958.1	278859	279896	+	1038	99
cg0319	NC_006958.1	279893	280282	+	390	113
cg0321	NC_006958.1	280346	280666	-	321	155
cg0322	NC_006958.1	280667	280939	-	273	121
cg0323	NC_006958.1	280946	281401	-	456	228
cg0324	NC_006958.1	281401	282933	-	1533	590
cg0325	NC_006958.1	282934	283317	-	384	112
cg0326	NC_006958.1	283314	286208	-	2895	1539
cg0327	NC_006958.1	286382	287860	+	1479	954
cg0328	NC_006958.1	287963	288829	-	867	32
cg0330	NC_006958.1	289128	289796	-	669	38
cg0331	NC_006958.1	289774	291243	-	1470	122
cg0332	NC_006958.1	291270	291617	-	348	5
cg0333	NC_006958.1	291800	292420	+	621	218
cgtRNA_3540	NC_006958.1	292466	292542	-	77	24
cg0334	NC_006958.1	292594	293502	-	909	382
cg0335	NC_006958.1	293539	293994	+	456	914
cg0336	NC_006958.1	294001	296388	-	2388	3302
cg0337	NC_006958.1	297055	297405	+	351	1697
cg0338	NC_006958.1	297631	297786	+	156	355
cg0339	NC_006958.1	297792	298253	+	462	1241
cg0340	NC_006958.1	298329	299684	-	1356	110
cg0341	NC_006958.1	299723	301261	-	1539	44
cg0343	NC_006958.1	301509	301976	-	468	98
cg0344	NC_006958.1	302167	303102	+	936	43
cg0345	NC_006958.1	303133	304077	+	945	69
cg0346	NC_006958.1	304070	305266	+	1197	104
cg0347	NC_006958.1	305288	305761	+	474	27
cg0349	NC_006958.1	305876	306703	+	828	3239
cg0350	NC_006958.1	306779	307462	-	684	6431
cg0352	NC_006958.1	307724	307909	-	186	562
cg0353	NC_006958.1	307955	308737	+	783	219
cg0354	NC_006958.1	308745	309305	+	561	188
cg0355	NC_006958.1	309298	310041	+	744	231
cg0356	NC_006958.1	310132	311328	+	1197	468
cg0358	NC_006958.1	311896	312891	-	996	745
cg0359	NC_006958.1	312906	313457	-	552	1379
cg0360	NC_006958.1	313622	314464	-	843	595
cg0362	NC_006958.1	314944	316005	+	1062	10
cg0363	NC_006958.1	316002	317135	+	1134	3
cg0364	NC_006958.1	317120	317896	+	777	13
cg0365	NC_006958.1	317893	318468	+	576	55
cg0366	NC_006958.1	318492	318692	+	201	9
cg0368	NC_006958.1	318696	319016	+	321	12
cg0369	NC_006958.1	319039	319338	+	300	17
cg0370	NC_006958.1	319333	321690	-	2358	457
cg0371	NC_006958.1	322007	322210	+	204	13707
cg0373	NC_006958.1	322911	325901	+	2991	3946
cg0374	NC_006958.1	325905	326618	+	714	362
cg0375	NC_006958.1	326693	328219	-	1527	1257
cg0376	NC_006958.1	328284	329543	+	1260	216
cgtRNA_3541	NC_006958.1	329630	329705	+	76	32
cg0378	NC_006958.1	329934	330380	+	447	288
cg0382	NC_006958.1	330974	331537	+	564	37
cg0384	NC_006958.1	331553	332437	+	885	68
cg0385	NC_006958.1	332920	334566	+	1647	60
cg0386	NC_006958.1	334550	334957	+	408	38
cg0387	NC_006958.1	335010	336116	+	1107	2872
cg0388	NC_006958.1	336117	336752	+	636	1785
cg0389	NC_006958.1	336782	337453	+	672	1166
cg0390	NC_006958.1	337540	338772	+	1233	411
cg0391	NC_006958.1	338794	339729	+	936	1484
cg0393	NC_006958.1	340193	340570	-	378	230
cg0394	NC_006958.1	340567	341277	-	711	476
cg0395	NC_006958.1	341357	342379	+	1023	277
cg0396	NC_006958.1	342418	343455	+	1038	830
cg0397	NC_006958.1	343637	345721	+	2085	216
cg0399	NC_006958.1	346108	346461	-	354	311
cg0400	NC_006958.1	346959	348020	-	1062	2345
cg0401	NC_006958.1	348096	348953	-	858	437
cg0402	NC_006958.1	348950	350311	-	1362	460
cg0403	NC_006958.1	350311	351330	-	1020	594
cg0404	NC_006958.1	351368	351949	-	582	896
cg0405	NC_006958.1	352694	353641	+	948	510
cg0407	NC_006958.1	353747	354388	-	642	243
cg0408	NC_006958.1	354597	355847	-	1251	389
cg0409	NC_006958.1	355847	357229	-	1383	644
cg0410	NC_006958.1	357235	359241	-	2007	947
cg0411	NC_006958.1	359760	360308	-	549	59
cg0412	NC_006958.1	360812	361906	-	1095	544
cg0413	NC_006958.1	362055	363152	-	1098	10725
cg0414	NC_006958.1	363825	365261	+	1437	4679
cg0415	NC_006958.1	365251	365856	+	606	1604
cg0416	NC_006958.1	365928	366842	+	915	2178
cg0417	NC_006958.1	366833	368647	+	1815	4864
cg0418	NC_006958.1	368648	369805	+	1158	3488
cg0419	NC_006958.1	369795	370409	+	615	2302
cg0421	NC_006958.1	371930	373423	+	1494	1211
cg0422	NC_006958.1	373501	374817	+	1317	2824
cg0423	NC_006958.1	374834	375841	+	1008	2229
cg0424	NC_006958.1	375843	376880	+	1038	2928
cg0426	NC_006958.1	377684	377836	+	153	170
cg0428	NC_006958.1	378186	378515	+	330	116
cg0431	NC_006958.1	378666	379838	-	1173	441
cg0432	NC_006958.1	379848	380843	-	996	2457
cg0435	NC_006958.1	381949	383112	+	1164	2026
cg0436	NC_006958.1	383494	383769	-	276	471
cg0437	NC_006958.1	383980	385191	-	1212	2491
cg0438	NC_006958.1	385372	386196	-	825	2025
cg0439	NC_006958.1	386557	387204	+	648	1098
cg0441	NC_006958.1	387693	389102	+	1410	13384
cg0442	NC_006958.1	389249	390172	+	924	1779
cg0443	NC_006958.1	390234	390734	+	501	344
cg0444	NC_006958.1	390784	392208	-	1425	1043
cg0445	NC_006958.1	392705	393478	+	774	4151
cg0446	NC_006958.1	393495	395516	+	2022	9502
cg0447	NC_006958.1	395516	396265	+	750	4524
cg0448	NC_006958.1	396324	396653	+	330	3284
cg0450	NC_006958.1	397229	398206	-	978	99
cg0451	NC_006958.1	398278	399582	+	1305	452
cg0452	NC_006958.1	399598	400020	+	423	597
cg0453	NC_006958.1	400039	400344	+	306	792
cg0454	NC_006958.1	400499	401152	+	654	94
cg0455	NC_006958.1	401149	402798	+	1650	195
cg0456	NC_006958.1	402798	404432	+	1635	163
cg0457	NC_006958.1	404504	405418	-	915	1794
cg0458	NC_006958.1	405473	406147	+	675	266
cg0462	NC_006958.1	406549	407418	+	870	33
cg0463	NC_006958.1	407405	407707	-	303	64
cg0464	NC_006958.1	407707	409974	-	2268	372
cg0465	NC_006958.1	410023	410475	-	453	20
cg0466	NC_006958.1	410706	412547	+	1842	326
cg0467	NC_006958.1	412556	413635	+	1080	406
cg0468	NC_006958.1	413636	414712	+	1077	234
cg0469	NC_006958.1	414713	415528	+	816	150
cg0470	NC_006958.1	415642	416601	+	960	54
cg0471	NC_006958.1	416602	417441	+	840	40
cg0472	NC_006958.1	417541	418353	-	813	593
cg0474	NC_006958.1	418437	419252	-	816	608
cg0475	NC_006958.1	419253	419756	-	504	3284
cg0476	NC_006958.1	419781	420887	+	1107	212
cg0477	NC_006958.1	420880	421518	+	639	181
cg0480	NC_006958.1	422086	423792	-	1707	1850
cg0481	NC_006958.1	423877	425133	+	1257	512
cg0482	NC_006958.1	425176	425922	+	747	8257
cg0483	NC_006958.1	425933	427174	+	1242	1789
cg0484	NC_006958.1	427171	427869	+	699	745
cg0485	NC_006958.1	428560	429441	+	882	9
cg0486	NC_006958.1	429434	432004	-	2571	576
cg0487	NC_006958.1	432122	433027	-	906	445
cg0488	NC_006958.1	433145	433990	+	846	1501
cg0489	NC_006958.1	434018	434824	+	807	1838
cg0490	NC_006958.1	434885	435697	+	813	1900
cg0492	NC_006958.1	435948	436139	+	192	2654
cg0495	NC_006958.1	436976	438043	-	1068	187
cg0496	NC_006958.1	438190	438426	+	237	131
cg0497	NC_006958.1	438512	439906	+	1395	1158
cg0498	NC_006958.1	439908	440816	+	909	964
cg0499	NC_006958.1	441228	441593	+	366	455
cg0500	NC_006958.1	441597	442481	-	885	123
cg0501	NC_006958.1	442757	444160	+	1404	501
cg0502	NC_006958.1	444184	446040	+	1857	418
cg0503	NC_006958.1	446086	446523	+	438	173
cg0504	NC_006958.1	446537	447388	+	852	360
cg0505	NC_006958.1	447394	447669	-	276	285
cg0506	NC_006958.1	448126	449178	-	1053	173
cg0507	NC_006958.1	449179	450825	-	1647	460
cg0508	NC_006958.1	450833	451912	-	1080	1279
cg0510	NC_006958.1	452636	454432	+	1797	2153
cg0511	NC_006958.1	454458	454877	+	420	233
cg0512	NC_006958.1	454966	455985	+	1020	679
cg0513	NC_006958.1	456015	456599	+	585	312
cg0514	NC_006958.1	456640	457152	+	513	314
cg0515	NC_006958.1	457266	459902	+	2637	1489
cg0516	NC_006958.1	460019	461095	+	1077	564
cg0517	NC_006958.1	461111	462457	+	1347	675
cg0518	NC_006958.1	462565	463869	+	1305	1395
cg0519	NC_006958.1	463866	464474	+	609	523
cg0520	NC_006958.1	464481	465104	+	624	497
cg0522	NC_006958.1	465105	465911	+	807	374
cg0523	NC_006958.1	465948	467573	+	1626	633
cg0524	NC_006958.1	467650	468660	+	1011	649
cg0525	NC_006958.1	469369	470172	+	804	5
cg0526	NC_006958.1	470183	470656	+	474	30
cg0527	NC_006958.1	470653	471012	-	360	92
cg0528	NC_006958.1	471117	471419	-	303	505
cg0530	NC_006958.1	471598	471849	+	252	229
cg0531	NC_006958.1	471911	472807	-	897	352
